0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,sound_paths
0.455870083,0.77059348,0.656954142,0.672679475,0.350370955,0.519405551,0.40228194,0.478763969,0.401850286,0.637311536,0.3463771,0.40286507,0.619906208,0.285797555,0.207721873,0.268920271,0.260634978,0.199936113,0.246044222,0.261914837,0.268764768,0.25734133,0.235486697,0.263698574,0.239326313,0.242989595,0.229987812,0.237710622,0.249849038,0.26013976,0.247779088,0.246210626,0.257399671,0.251925994,0.246176327,0.251551274,0.253731882,0.249363441,0.266140119,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T090300+1000_REC_1538.493_1542.993.wav
0.504505762,0.797243265,0.635887244,0.677115343,0.298129142,0.499811957,0.465348411,0.492000483,0.298613144,0.610068337,0.310538609,0.377269683,0.636861822,0.322964784,0.250275001,0.293027698,0.289727913,0.229831562,0.265959962,0.258040914,0.299138527,0.313246785,0.301047649,0.292572938,0.308845282,0.332649089,0.280575331,0.29063897,0.303476341,0.297484577,0.296046998,0.292422374,0.300306662,0.301162187,0.291247388,0.289941638,0.300547826,0.301584668,0.307754407,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T090300+1000_REC_1546.939_1551.439.wav
0.500681004,0.825439702,0.626211413,0.584939165,0.344167414,0.445649058,0.511356576,0.542582868,0.434267518,0.638981795,0.37994421,0.382317356,0.687539857,0.236098346,0.192411999,0.271070454,0.235036341,0.164406997,0.163893824,0.191451467,0.222076326,0.222054863,0.210258558,0.202929219,0.169614365,0.207550976,0.184365512,0.19969145,0.207137201,0.20785749,0.203975221,0.201477021,0.213298352,0.212450604,0.212615447,0.212199655,0.205983651,0.201396395,0.210847833,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T090300+1000_REC_1796.252_1800.752.wav
0.209870875,0.614047724,0.676619535,0.609491555,0.483436972,0.464798616,0.499340167,0.463116578,0.441816349,0.564346731,0.362219023,0.32716995,0.676000769,0.395888898,0.309955547,0.372143747,0.375291126,0.321056974,0.353124818,0.354326405,0.401933849,0.392000265,0.391180462,0.387144558,0.355981639,0.344501991,0.363159926,0.387367156,0.386052132,0.378622443,0.383314534,0.380859729,0.383598268,0.381221336,0.385125173,0.385715032,0.381434212,0.381851503,0.386471276,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T090300+1000_REC_1853.904_1858.404.wav
0.626193899,0.85910044,0.623754875,0.705222707,0.283379786,0.485622025,0.442035768,0.56089104,0.348048404,0.652018286,0.304464275,0.326353432,0.623613315,0.159936581,0.185813764,0.277861403,0.243764515,0.147274164,0.142547955,0.214588282,0.282209583,0.269517937,0.203481638,0.210132792,0.200337615,0.2032627,0.202260652,0.20349248,0.203305857,0.208441625,0.215047676,0.209103748,0.209958439,0.211334007,0.209424187,0.220284756,0.209723901,0.215072781,0.224295224,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T100000+1000_REC_1028.929_1033.429.wav
0.394467506,0.738874476,0.646993551,0.629118295,0.308893053,0.432708252,0.52090918,0.508174484,0.416285296,0.60801852,0.343851099,0.392971489,0.689548928,0.302646659,0.271782624,0.32612466,0.320492855,0.268473033,0.287971173,0.294308024,0.307147919,0.271964094,0.314094958,0.316947717,0.291369759,0.290537687,0.287940064,0.301240758,0.309501155,0.305467443,0.303134186,0.294598777,0.310067973,0.300426427,0.291839126,0.304801975,0.308800844,0.307482744,0.313627483,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T100000+1000_REC_1244.529_1249.029.wav
0.535628931,0.829187228,0.650529985,0.676930577,0.341152475,0.467585346,0.467489321,0.458787587,0.381017918,0.573504705,0.301748357,0.388664784,0.669275075,0.239202546,0.202382267,0.279737509,0.213002862,0.210157067,0.224805649,0.185420142,0.226362207,0.251130375,0.256295291,0.250920546,0.189116682,0.21679595,0.202931899,0.218170575,0.22526862,0.226722685,0.239373046,0.228155894,0.229720985,0.228694066,0.224555692,0.235264142,0.243678828,0.22715484,0.240949268,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T100000+1000_REC_264.87_269.37.wav
0.567249789,0.829370523,0.625545914,0.699867022,0.293306625,0.511799594,0.50068701,0.555064902,0.395594826,0.611739738,0.302536725,0.358233554,0.650927481,0.233006219,0.1550617,0.209260038,0.19244333,0.167657578,0.172945944,0.190771627,0.208379364,0.21173523,0.182853787,0.177892029,0.151724675,0.156675687,0.169918905,0.165189427,0.178324801,0.184625634,0.190378811,0.189349616,0.192844026,0.185859536,0.186167045,0.188528517,0.186130139,0.183978972,0.189343061,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T100000+1000_REC_5952.136_5956.636.wav
0.105454542,0.515606822,0.707379038,0.521561586,0.604094706,0.421676932,0.661416906,0.434367132,0.513295189,0.545647662,0.456175807,0.332995486,0.713143708,0.354530216,0.284607345,0.347942429,0.361279926,0.292858885,0.317392204,0.328676184,0.336242161,0.34726754,0.349115867,0.355411555,0.346980427,0.353251811,0.35131835,0.361543398,0.360375084,0.361409344,0.365385323,0.358342902,0.360605576,0.359980625,0.353754983,0.360223254,0.365733364,0.365986985,0.374923587,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T120000+1000_REC_2385.092_2389.592.wav
0.635721102,0.885899729,0.618173397,0.624223871,0.27019879,0.447665053,0.430450849,0.537981617,0.366913179,0.554589573,0.279607292,0.350846312,0.621936506,0.321739504,0.246807089,0.285966065,0.318640805,0.255808404,0.308001255,0.300561544,0.27268575,0.309006461,0.292145293,0.306033936,0.275491186,0.274424841,0.281886919,0.294973667,0.297604382,0.296167081,0.294640702,0.293820047,0.305267388,0.291319265,0.289394848,0.304039684,0.301825429,0.295811817,0.304696125,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T120000+1000_REC_2406.029_2410.529.wav
0.107720273,0.524025057,0.711271761,0.498948614,0.609698259,0.411289143,0.652832705,0.445939682,0.527336686,0.533667069,0.432142185,0.331615119,0.709976676,0.371052865,0.308327181,0.387960306,0.393242653,0.317678647,0.362294829,0.366010573,0.393076834,0.386962787,0.357912201,0.36332909,0.353744745,0.348737928,0.348144935,0.351510923,0.350939749,0.359713716,0.358085617,0.352871055,0.355771863,0.354670821,0.358386819,0.359664117,0.358504554,0.355975287,0.367172345,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T120000+1000_REC_6276.1_6280.6.wav
0.62173525,0.85734547,0.612071976,0.688493009,0.261183739,0.432787484,0.434060653,0.582579962,0.407443909,0.638374041,0.305561905,0.356089124,0.63665981,0.260701549,0.19326393,0.235881029,0.223546795,0.164201708,0.180831846,0.218392786,0.25294585,0.236740799,0.258524958,0.234944667,0.235031733,0.229508385,0.220299026,0.223704447,0.235399841,0.235753089,0.226432369,0.223366979,0.233444609,0.232570711,0.238540788,0.239820278,0.235102752,0.239431925,0.252927083,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T120000+1000_REC_6346.027_6350.527.wav
0.177248641,0.596591721,0.69545043,0.541786383,0.515963463,0.462786711,0.532014905,0.471980615,0.4936554,0.53198466,0.423170499,0.332233123,0.724188051,0.35215424,0.288278431,0.345987243,0.34176142,0.3164233,0.36209847,0.352053898,0.377554595,0.347268892,0.333944247,0.322758283,0.314494839,0.333715144,0.326342068,0.336675283,0.34121889,0.341621933,0.337285715,0.338255598,0.348180303,0.344200225,0.347196526,0.345825011,0.342727799,0.340893477,0.345233065,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T140000+1000_REC_3089.558_3094.058.wav
0.285617367,0.652608884,0.66012268,0.544971671,0.488806989,0.626013772,0.366073876,0.615163843,0.327162953,0.655971128,0.374577329,0.298514421,0.803890255,0.298418583,0.23533832,0.254884781,0.259805124,0.23132233,0.268385227,0.287660255,0.274611741,0.270761657,0.248559527,0.254465358,0.269923214,0.279425975,0.26039609,0.268082682,0.268108396,0.27729777,0.271313337,0.272255492,0.283028857,0.269095635,0.270346393,0.266390293,0.267497855,0.275737628,0.280883113,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T140000+1000_REC_5503.389_5507.889.wav
0.386427376,0.688930079,0.658942878,0.711591888,0.35278605,0.576925791,0.403159711,0.520802227,0.325618627,0.721767731,0.286023946,0.365548957,0.734926364,0.267880119,0.223464252,0.2778313,0.268181565,0.217058793,0.222891748,0.253515496,0.255740476,0.280798397,0.26138078,0.253708006,0.240599602,0.28269626,0.230071169,0.236460945,0.236805333,0.241092676,0.248944427,0.250679808,0.251234501,0.239267886,0.239576425,0.246090731,0.240219893,0.238049394,0.249769835,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T140000+1000_REC_5765.629_5770.129.wav
0.109934606,0.515450146,0.700011934,0.536954468,0.559036615,0.4389111,0.632203917,0.464875581,0.528667284,0.547718534,0.432630176,0.343600216,0.717169312,0.382632218,0.2662377,0.344780225,0.371458611,0.304877934,0.354392201,0.350789363,0.383552109,0.358086615,0.354753301,0.353390176,0.341060998,0.351029936,0.347053296,0.349230733,0.350842454,0.359614196,0.363574669,0.364828699,0.366996623,0.362629062,0.364810458,0.36278317,0.354784055,0.357606297,0.366463157,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T140000+1000_REC_735.697_740.197.wav
0.455065728,0.776612696,0.627966704,0.57590282,0.348487305,0.600541958,0.379679863,0.617648229,0.389179697,0.483344704,0.434504404,0.319989388,0.741635322,0.308509887,0.210966053,0.253605756,0.248109468,0.194252661,0.235285101,0.252713478,0.26610909,0.228191572,0.209841531,0.240863087,0.205447739,0.238965496,0.225586428,0.23197955,0.24437183,0.252966716,0.249248427,0.247792968,0.246275504,0.239817449,0.243325057,0.255225963,0.255491296,0.239607995,0.251848153,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T170832+1000_REC_1379.151_1383.651.wav
0.205114126,0.629325263,0.592141413,0.486300112,0.55326934,0.591371698,0.432425818,0.452386806,0.496267106,0.459579151,0.551019426,0.29639486,0.727563055,0.407783038,0.297941204,0.392495664,0.413839084,0.337448661,0.364858584,0.351628003,0.448627308,0.412969477,0.375858274,0.379003826,0.391457574,0.426619276,0.381878908,0.395944738,0.386151739,0.400743335,0.400042844,0.386055043,0.410476035,0.399064921,0.410151316,0.40934502,0.403224307,0.41473083,0.412605459,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T170832+1000_REC_1473.378_1477.878.wav
0.344654847,0.69108395,0.567593422,0.618234371,0.385019662,0.563038456,0.360283001,0.564979847,0.443187811,0.455253412,0.538902066,0.32253885,0.740604127,0.313041528,0.314178024,0.352857844,0.262067015,0.338024756,0.448312453,0.267100344,0.272203751,0.391009438,0.40285819,0.374367305,0.30240973,0.335364775,0.345360275,0.343167095,0.347098681,0.349348613,0.350000797,0.349568893,0.363590504,0.354722967,0.339295135,0.348635595,0.35693843,0.364601473,0.357035167,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T170832+1000_REC_1933.159_1937.659.wav
